Year,Geography,Code,Name,66 + years (%)
2006,wijken,ET,Overtoomse Sluis,5.5
2006,wijken,EU,Helmersbuurt,5.8
2006,wijken,EV,Vondelparkbuurt,11.5
2006,wijken,FA,Sloterdijk Nieuw-West,6.1
2006,wijken,FB,Geuzenveld,11.8
2006,wijken,FC,Slotermeer-West,12
2006,wijken,FD,Slotermeer-Noordoost,11.9
2006,wijken,FE,Slotermeer-Zuidoost,17
2006,wijken,FF,Lutkemeer/Ookmeer,9.5
2006,wijken,FG,De Aker,6.6
2006,wijken,FH,De Punt,19.3
2006,wijken,FJ,Osdorp-Midden,13.3
2006,wijken,FK,Osdorp-Oost,24.9
2006,wijken,FL,Slotervaart-Noord,16
2006,wijken,FM,Overtoomse Veld,10.4
2006,wijken,FN,Slotervaart-Zuid,21.4
2006,wijken,FP,Westlandgracht,11.8
2006,wijken,FQ,Sloten/Nieuw-Sloten,8.7
2006,wijken,KA,Hoofddorppleinbuurt,8.9
2006,wijken,KB,Schinkelbuurt,9.7
2006,wijken,KC,Willemspark,8.6
2006,wijken,KD,Museumkwartier,11
2006,wijken,KE,Oude Pijp,5.1
2006,wijken,KF,Nieuwe Pijp,8.9
2006,wijken,KG,Zuid Pijp,10
2006,wijken,KH,Stadionbuurt,12.2
2006,wijken,KJ,Apollobuurt,14.5
2006,wijken,KK,Scheldebuurt,13.6
2006,wijken,KL,IJselbuurt,9.5
2006,wijken,KM,Rijnbuurt,12
2006,wijken,KN,Prinses Irenebuurt e.o.,23.8
2006,wijken,KP,Zuidas,1.1
2006,wijken,KQ,Buitenveldert-West,27.7
2006,wijken,KR,Buitenveldert-Oost,34
2006,wijken,MA,Oostelijk Havengebied,3
2006,wijken,MB,Weesperzijde,5.1
2006,wijken,MC,Oosterparkbuurt,6.5
2006,wijken,MD,Transvaalbuurt,5.1
2006,wijken,ME,Dapperbuurt,8.5
2006,wijken,MF,Indische Buurt-West,5.9
2006,wijken,MG,Indische Buurt-Oost,9.2
2006,wijken,MH,Zeeburgereiland/Bovendiep,2.3
2006,wijken,MJ,IJburg-West,1.6
2006,wijken,MK,IJburg-Oost,
2006,wijken,ML,IJburg-Zuid,
2006,wijken,MM,Frankendael,16.5
2006,wijken,MN,Middenmeer,11.5
2006,wijken,MP,Betondorp,28
2006,wijken,MQ,Omval/Overamstel,3.1
2006,wijken,NB,Noordelijke IJ-oevers-West,3.4
2006,wijken,NC,Tuindorp Oostzaan,20.6
2006,wijken,ND,Kadoelen,13.9
2006,wijken,NE,Banne Buiksloot,14.1
2006,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,8
2006,wijken,NG,Elzenhagen,11.8
2006,wijken,NH,Buikslotermeer,22.9
2006,wijken,NJ,Waterlandpleinbuurt,12.2
2006,wijken,NK,Volewijck,11.9
2006,wijken,NL,IJplein/Vogelbuurt,7.7
2006,wijken,NM,Tuindorp Buiksloot,18.8
2006,wijken,NN,Tuindorp Nieuwendam,22.7
2006,wijken,NP,Noordelijke IJ-oevers-Oost,9.7
2006,wijken,NQ,Waterland,14.2
2006,wijken,SA,Driemond,12.9
2006,wijken,TA,Amstel III/Bullewijk,2.6
2006,wijken,TB,Venserpolder,8.1
2006,wijken,TC,Amsterdamse Poort e.o.,2.5
2006,wijken,TD,H-buurt,3.2
2006,wijken,TE,Ganzenhoef e.o.,2.4
2006,wijken,TF,Geerdinkhof/Kantershof,19.4
2006,wijken,TG,Bijlmermuseum,4.3
2006,wijken,TH,K-buurt,13.3
2006,wijken,TJ,Holendrecht,10.9
2006,wijken,TK,Nellestein,18
2006,wijken,TL,Reigersbos,9.7
2006,wijken,TM,Gein,6.2
2007,wijken,AA,Haarlemmerbuurt,7.6
2007,wijken,AB,Jordaan,9
2007,wijken,AC,Grachtengordel-West,6.2
2007,wijken,AD,Burgwallen-Nieuwe Zijde,4
2007,wijken,AE,Burgwallen-Oude Zijde,5.3
2007,wijken,AF,Nieuwmarkt/Lastage,8.8
2007,wijken,AG,Grachtengordel-Zuid,9.2
2007,wijken,AH,De Weteringschans,6.5
2007,wijken,AJ,Weesperbuurt/Plantage,14.8
2007,wijken,AK,Oostelijke Eilanden/Kadijken,5.9
2007,wijken,EA,Sloterdijk-West,10.1
2007,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,8.4
2007,wijken,EC,Houthavens,1.9
2007,wijken,ED,De Kolenkit,7.1
2007,wijken,EE,Landlust,6.8
2007,wijken,EF,Erasmuspark,7
2007,wijken,EG,Centrale Markt,5.6
2007,wijken,EH,Staatsliedenbuurt,5.8
2007,wijken,EJ,Frederik Hendrikbuurt,8.5
2007,wijken,EK,Van Galenbuurt,7.2
2007,wijken,EL,Geuzenbuurt,7
2007,wijken,EM,Hoofdweg e.o.,8.1
2007,wijken,EN,Chassébuurt,6.2
2007,wijken,EP,Bellamybuurt,6.5
2007,wijken,EQ,Da Costabuurt,7.7
2007,wijken,ER,Westindische Buurt,7.7
2007,wijken,ES,Van Lennepbuurt,8.8
2007,wijken,ET,Overtoomse Sluis,5.7
2007,wijken,EU,Helmersbuurt,5.8
2007,wijken,EV,Vondelparkbuurt,12.1
2007,wijken,FA,Sloterdijk Nieuw-West,5.1
2007,wijken,FB,Geuzenveld,10.9
2007,wijken,FC,Slotermeer-West,11.9
2007,wijken,FD,Slotermeer-Noordoost,11.4
2007,wijken,FE,Slotermeer-Zuidoost,16.8
2007,wijken,FF,Lutkemeer/Ookmeer,9.3
2007,wijken,FG,De Aker,7.1
2007,wijken,FH,De Punt,18.3
2007,wijken,FJ,Osdorp-Midden,14.3
2007,wijken,FK,Osdorp-Oost,25
2007,wijken,FL,Slotervaart-Noord,16
2007,wijken,FM,Overtoomse Veld,10
2007,wijken,FN,Slotervaart-Zuid,20.3
2007,wijken,FP,Westlandgracht,12.3
2007,wijken,FQ,Sloten/Nieuw-Sloten,9
2007,wijken,KA,Hoofddorppleinbuurt,8.8
2007,wijken,KB,Schinkelbuurt,9.4
2007,wijken,KC,Willemspark,8.8
