Year,Geography,Code,Name,Appearance living environment (1-10)
2007,wijken,EV,Vondelparkbuurt,7.2
2007,wijken,FA,Sloterdijk Nieuw-West,
2007,wijken,FB,Geuzenveld,
2007,wijken,FC,Slotermeer-West,
2007,wijken,FD,Slotermeer-Noordoost,6.2
2007,wijken,FE,Slotermeer-Zuidoost,
2007,wijken,FF,Lutkemeer/Ookmeer,
2007,wijken,FG,De Aker,6.9
2007,wijken,FH,De Punt,6.4
2007,wijken,FJ,Osdorp-Midden,6.1
2007,wijken,FK,Osdorp-Oost,6.7
2007,wijken,FL,Slotervaart-Noord,6.9
2007,wijken,FM,Overtoomse Veld,5.7
2007,wijken,FN,Slotervaart-Zuid,6.7
2007,wijken,FP,Westlandgracht,6.3
2007,wijken,FQ,Sloten/Nieuw-Sloten,7.3
2007,wijken,KA,Hoofddorppleinbuurt,6.6
2007,wijken,KB,Schinkelbuurt,6.5
2007,wijken,KC,Willemspark,7.4
2007,wijken,KD,Museumkwartier,7.6
2007,wijken,KE,Oude Pijp,6.4
2007,wijken,KF,Nieuwe Pijp,6.2
2007,wijken,KG,Zuid Pijp,6.6
2007,wijken,KH,Stadionbuurt,6.8
2007,wijken,KJ,Apollobuurt,7.7
2007,wijken,KK,Scheldebuurt,7.2
2007,wijken,KL,IJselbuurt,7
2007,wijken,KM,Rijnbuurt,6.8
2007,wijken,KN,Prinses Irenebuurt e.o.,7.3
2007,wijken,KP,Zuidas,
2007,wijken,KQ,Buitenveldert-West,6.8
2007,wijken,KR,Buitenveldert-Oost,7
2007,wijken,MA,Oostelijk Havengebied,7.4
2007,wijken,MB,Weesperzijde,6.4
2007,wijken,MC,Oosterparkbuurt,6.1
2007,wijken,MD,Transvaalbuurt,6
2007,wijken,ME,Dapperbuurt,6.2
2007,wijken,MF,Indische Buurt-West,5.8
2007,wijken,MG,Indische Buurt-Oost,6.2
2007,wijken,MH,Zeeburgereiland/Bovendiep,
2007,wijken,MJ,IJburg-West,6.5
2007,wijken,MK,IJburg-Oost,
2007,wijken,ML,IJburg-Zuid,
2007,wijken,MM,Frankendael,6.8
2007,wijken,MN,Middenmeer,7.3
2007,wijken,MP,Betondorp,6.8
