Year,Geography,Code,Name,Area total (ha)
2015,wijken,FC,Slotermeer-West,91
2015,wijken,FD,Slotermeer-Noordoost,102
2015,wijken,FE,Slotermeer-Zuidoost,189
2015,wijken,FF,Lutkemeer/Ookmeer,569
2015,wijken,FG,De Aker,164
2015,wijken,FH,De Punt,60
2015,wijken,FJ,Osdorp-Midden,112
2015,wijken,FK,Osdorp-Oost,177
2015,wijken,FL,Slotervaart-Noord,155
2015,wijken,FM,Overtoomse Veld,154
2015,wijken,FN,Slotervaart-Zuid,131
2015,wijken,FP,Westlandgracht,150
2015,wijken,FQ,Sloten/Nieuw-Sloten,594
2015,wijken,KA,Hoofddorppleinbuurt,96
2015,wijken,KB,Schinkelbuurt,35
2015,wijken,KC,Willemspark,70
2015,wijken,KD,Museumkwartier,139
2015,wijken,KE,Oude Pijp,68
2015,wijken,KF,Nieuwe Pijp,54
2015,wijken,KG,Zuid Pijp,39
2015,wijken,KH,Stadionbuurt,107
2015,wijken,KJ,Apollobuurt,94
2015,wijken,KK,Scheldebuurt,101
2015,wijken,KL,IJselbuurt,29
2015,wijken,KM,Rijnbuurt,110
2015,wijken,KN,Prinses Irenebuurt e.o.,43
2015,wijken,KP,Zuidas,217
2015,wijken,KQ,Buitenveldert-West,355
2015,wijken,KR,Buitenveldert-Oost,170
2015,wijken,MA,Oostelijk Havengebied,381
2015,wijken,MB,Weesperzijde,45
2015,wijken,MC,Oosterparkbuurt,75
2015,wijken,MD,Transvaalbuurt,38
2015,wijken,ME,Dapperbuurt,61
2015,wijken,MF,Indische Buurt-West,48
2015,wijken,MG,Indische Buurt-Oost,129
2015,wijken,MH,Zeeburgereiland/Bovendiep,463
2015,wijken,MJ,IJburg-West,322
2015,wijken,MK,IJburg-Oost,499
2015,wijken,ML,IJburg-Zuid,96
2015,wijken,MM,Frankendael,167
2015,wijken,MN,Middenmeer,302
2015,wijken,MP,Betondorp,113
2015,wijken,MQ,Omval/Overamstel,320
2015,wijken,NA,Oostzanerwerf,
2015,wijken,NB,Noordelijke IJ-oevers-West,405
2015,wijken,NC,Tuindorp Oostzaan,170
2015,wijken,ND,Kadoelen,150
2015,wijken,NE,Banne Buiksloot,183
2015,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,43
2015,wijken,NG,Elzenhagen,86
2015,wijken,NH,Buikslotermeer,155
2015,wijken,NJ,Waterlandpleinbuurt,151
2015,wijken,NK,Volewijck,131
2015,wijken,NL,IJplein/Vogelbuurt,145
2015,wijken,NM,Tuindorp Buiksloot,17
2015,wijken,NN,Tuindorp Nieuwendam,47
2015,wijken,NP,Noordelijke IJ-oevers-Oost,111
2015,wijken,NQ,Waterland,4255
2015,wijken,SA,Driemond,202
2015,wijken,TA,Amstel III/Bullewijk,527
2015,wijken,TB,Venserpolder,82
2015,wijken,TC,Amsterdamse Poort e.o.,152
2015,wijken,TD,H-buurt,81
2015,wijken,TE,Ganzenhoef e.o.,83
2015,wijken,TF,Geerdinkhof/Kantershof,157
2015,wijken,TG,Bijlmermuseum,72
2015,wijken,TH,K-buurt,96
2015,wijken,TJ,Holendrecht,139
2015,wijken,TK,Nellestein,295
2015,wijken,TL,Reigersbos,132
2015,wijken,TM,Gein,192
2016,wijken,AA,Haarlemmerbuurt,81.45
2016,wijken,AB,Jordaan,94.65
2016,wijken,AC,Grachtengordel-West,56.91
2016,wijken,AD,Burgwallen-Nieuwe Zijde,72.84
2016,wijken,AE,Burgwallen-Oude Zijde,40.47
2016,wijken,AF,Nieuwmarkt/Lastage,106.68
2016,wijken,AG,Grachtengordel-Zuid,64.18
2016,wijken,AH,De Weteringschans,64.77
2016,wijken,AJ,Weesperbuurt/Plantage,91.99
2016,wijken,AK,Oostelijke Eilanden/Kadijken,130.4
2016,wijken,BA,Havens-West,
2016,wijken,BB,Coenhaven/Minervahaven,
2016,wijken,EA,Sloterdijk-West,121.34
2016,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,141.06
2016,wijken,EC,Houthavens,91.96
2016,wijken,ED,De Kolenkit,74.12
2016,wijken,EE,Landlust,108.83
2016,wijken,EF,Erasmuspark,40.51
2016,wijken,EG,Centrale Markt,57.25
2016,wijken,EH,Staatsliedenbuurt,53.08
2016,wijken,EJ,Frederik Hendrikbuurt,42.12
2016,wijken,EK,Van Galenbuurt,29.4
2016,wijken,EL,Geuzenbuurt,29.17
2016,wijken,EM,Hoofdweg e.o.,41.97
2016,wijken,EN,Chassébuurt,27.57
2016,wijken,EP,Bellamybuurt,27.39
2016,wijken,EQ,Da Costabuurt,25.85
2016,wijken,ER,Westindische Buurt,34.69
2016,wijken,ES,Van Lennepbuurt,28.76
2016,wijken,ET,Overtoomse Sluis,30.86
2016,wijken,EU,Helmersbuurt,34.93
2016,wijken,EV,Vondelparkbuurt,22.12
2016,wijken,FA,Sloterdijk Nieuw-West,769.9
2016,wijken,FB,Geuzenveld,383
2016,wijken,FC,Slotermeer-West,91
2016,wijken,FD,Slotermeer-Noordoost,101.51
2016,wijken,FE,Slotermeer-Zuidoost,189
2016,wijken,FF,Lutkemeer/Ookmeer,568.75
2016,wijken,FG,De Aker,164.47
2016,wijken,FH,De Punt,59.96
2016,wijken,FJ,Osdorp-Midden,111.7
2016,wijken,FK,Osdorp-Oost,177.06
2016,wijken,FL,Slotervaart-Noord,155.37
2016,wijken,FM,Overtoomse Veld,154.39
2016,wijken,FN,Slotervaart-Zuid,130.53
2016,wijken,FP,Westlandgracht,149.62
2016,wijken,FQ,Sloten/Nieuw-Sloten,593.98
2016,wijken,KA,Hoofddorppleinbuurt,95.66
2016,wijken,KB,Schinkelbuurt,34.63
2016,wijken,KC,Willemspark,69.84
2016,wijken,KD,Museumkwartier,138.54
2016,wijken,KE,Oude Pijp,67.98
2016,wijken,KF,Nieuwe Pijp,54.43
2016,wijken,KG,Zuid Pijp,39.09
2016,wijken,KH,Stadionbuurt,107.38
2016,wijken,KJ,Apollobuurt,94.28
2016,wijken,KK,Scheldebuurt,100.76
2016,wijken,KL,IJselbuurt,29.21
2016,wijken,KM,Rijnbuurt,110.33
2016,wijken,KN,Prinses Irenebuurt e.o.,43.31
2016,wijken,KP,Zuidas,216.65
2016,wijken,KQ,Buitenveldert-West,355.24
2016,wijken,KR,Buitenveldert-Oost,170.07
2016,wijken,MA,Oostelijk Havengebied,381.22
2016,wijken,MB,Weesperzijde,44.67
2016,wijken,MC,Oosterparkbuurt,75.39
2016,wijken,MD,Transvaalbuurt,37.86
2016,wijken,ME,Dapperbuurt,61.39
2016,wijken,MF,Indische Buurt-West,48.13
2016,wijken,MG,Indische Buurt-Oost,129.46
2016,wijken,MH,Zeeburgereiland/Bovendiep,462.71
2016,wijken,MJ,IJburg-West,321.81
2016,wijken,MK,IJburg-Oost,498.6
2016,wijken,ML,IJburg-Zuid,95.59
2016,wijken,MM,Frankendael,167.39
2016,wijken,MN,Middenmeer,302.17
2016,wijken,MP,Betondorp,113.39
2016,wijken,MQ,Omval/Overamstel,319.72
2016,wijken,NA,Oostzanerwerf,
2016,wijken,NB,Noordelijke IJ-oevers-West,405.15
2016,wijken,NC,Tuindorp Oostzaan,169.97
2016,wijken,ND,Kadoelen,149.6
2016,wijken,NE,Banne Buiksloot,182.97
2016,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,43.33
2016,wijken,NG,Elzenhagen,86.08
2016,wijken,NH,Buikslotermeer,155.32
2016,wijken,NJ,Waterlandpleinbuurt,150.96
2016,wijken,NK,Volewijck,131.3
2016,wijken,NL,IJplein/Vogelbuurt,145.33
2016,wijken,NM,Tuindorp Buiksloot,17.3
2016,wijken,NN,Tuindorp Nieuwendam,47.06
2016,wijken,NP,Noordelijke IJ-oevers-Oost,110.86
2016,wijken,NQ,Waterland,4255.42
2016,wijken,SA,Driemond,202.33
2016,wijken,TA,Amstel III/Bullewijk,527.36
2016,wijken,TB,Venserpolder,82
2016,wijken,TC,Amsterdamse Poort e.o.,152
2016,wijken,TD,H-buurt,81
2016,wijken,TE,Ganzenhoef e.o.,82
2016,wijken,TF,Geerdinkhof/Kantershof,157
2016,wijken,TG,Bijlmermuseum,71
2016,wijken,TH,K-buurt,95
2016,wijken,TJ,Holendrecht,138
2016,wijken,TK,Nellestein,294.87
2016,wijken,TL,Reigersbos,132
2016,wijken,TM,Gein,192.14
2017,wijken,AA,Haarlemmerbuurt,81.44
2017,wijken,AB,Jordaan,94.66
2017,wijken,AC,Grachtengordel-West,56.9
2017,wijken,AD,Burgwallen-Nieuwe Zijde,72.85
2017,wijken,AE,Burgwallen-Oude Zijde,40.47
2017,wijken,AF,Nieuwmarkt/Lastage,106.69
2017,wijken,AG,Grachtengordel-Zuid,64.19
2017,wijken,AH,De Weteringschans,64.77
2017,wijken,AJ,Weesperbuurt/Plantage,91.99
2017,wijken,AK,Oostelijke Eilanden/Kadijken,130.4
2017,wijken,BA,Havens-West,
2017,wijken,BB,Coenhaven/Minervahaven,
2017,wijken,EA,Sloterdijk-West,121.34
2017,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,141.06
2017,wijken,EC,Houthavens,91.96
2017,wijken,ED,De Kolenkit,74.13
2017,wijken,EE,Landlust,108.84
2017,wijken,EF,Erasmuspark,40.51
2017,wijken,EG,Centrale Markt,57.25
2017,wijken,EH,Staatsliedenbuurt,53.09
2017,wijken,EJ,Frederik Hendrikbuurt,42.12
2017,wijken,EK,Van Galenbuurt,29.4
2017,wijken,EL,Geuzenbuurt,29.18
2017,wijken,EM,Hoofdweg e.o.,41.98
2017,wijken,EN,Chassébuurt,27.57
2017,wijken,EP,Bellamybuurt,27.39
2017,wijken,EQ,Da Costabuurt,25.85
2017,wijken,ER,Westindische Buurt,34.68
2017,wijken,ES,Van Lennepbuurt,28.77
2017,wijken,ET,Overtoomse Sluis,30.86
2017,wijken,EU,Helmersbuurt,34.92
2017,wijken,EV,Vondelparkbuurt,22.12
2017,wijken,FA,Sloterdijk Nieuw-West,769.91
2017,wijken,FB,Geuzenveld,383
2017,wijken,FC,Slotermeer-West,91
2017,wijken,FD,Slotermeer-Noordoost,101.52
2017,wijken,FE,Slotermeer-Zuidoost,189
2017,wijken,FF,Lutkemeer/Ookmeer,568.74
2017,wijken,FG,De Aker,164.47
2017,wijken,FH,De Punt,59.97
2017,wijken,FJ,Osdorp-Midden,111.69
2017,wijken,FK,Osdorp-Oost,177.06
2017,wijken,FL,Slotervaart-Noord,155.37
2017,wijken,FM,Overtoomse Veld,154.39
2017,wijken,FN,Slotervaart-Zuid,130.53
2017,wijken,FP,Westlandgracht,149.62
2017,wijken,FQ,Sloten/Nieuw-Sloten,593.98
2017,wijken,KA,Hoofddorppleinbuurt,95.66
2017,wijken,KB,Schinkelbuurt,34.63
2017,wijken,KC,Willemspark,69.85
2017,wijken,KD,Museumkwartier,138.54
2017,wijken,KE,Oude Pijp,67.98
2017,wijken,KF,Nieuwe Pijp,54.42
2017,wijken,KG,Zuid Pijp,39.08
2017,wijken,KH,Stadionbuurt,107.38
2017,wijken,KJ,Apollobuurt,94.28
2017,wijken,KK,Scheldebuurt,100.76
2017,wijken,KL,IJselbuurt,29.21
2017,wijken,KM,Rijnbuurt,110.32
2017,wijken,KN,Prinses Irenebuurt e.o.,43.3
2017,wijken,KP,Zuidas,216.67
2017,wijken,KQ,Buitenveldert-West,355.24
2017,wijken,KR,Buitenveldert-Oost,170.08
2017,wijken,MA,Oostelijk Havengebied,381.22
2017,wijken,MB,Weesperzijde,44.67
2017,wijken,MC,Oosterparkbuurt,75.4
2017,wijken,MD,Transvaalbuurt,37.85
2017,wijken,ME,Dapperbuurt,61.38
2017,wijken,MF,Indische Buurt-West,48.14
2017,wijken,MG,Indische Buurt-Oost,129.44
2017,wijken,MH,Zeeburgereiland/Bovendiep,462.7
2017,wijken,MJ,IJburg-West,321.81
2017,wijken,MK,IJburg-Oost,498.61
2017,wijken,ML,IJburg-Zuid,95.59
2017,wijken,MM,Frankendael,167.38
2017,wijken,MN,Middenmeer,302.19
2017,wijken,MP,Betondorp,113.4
2017,wijken,MQ,Omval/Overamstel,319.72
2017,wijken,NA,Oostzanerwerf,
2017,wijken,NB,Noordelijke IJ-oevers-West,405.13
2017,wijken,NC,Tuindorp Oostzaan,169.98
2017,wijken,ND,Kadoelen,149.6
2017,wijken,NE,Banne Buiksloot,182.97
2017,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,43.33
2017,wijken,NG,Elzenhagen,86.07
2017,wijken,NH,Buikslotermeer,155.34
2017,wijken,NJ,Waterlandpleinbuurt,150.98
2017,wijken,NK,Volewijck,131.32
2017,wijken,NL,IJplein/Vogelbuurt,145.32
2017,wijken,NM,Tuindorp Buiksloot,17.3
2017,wijken,NN,Tuindorp Nieuwendam,47.06
2017,wijken,NP,Noordelijke IJ-oevers-Oost,110.85
2017,wijken,NQ,Waterland,4255.38
2017,wijken,SA,Driemond,202.33
2017,wijken,SC,Weesp-Noordwest,
2017,wijken,SD,Weesp Binnenstad/Zuid,
2017,wijken,TA,Amstel III/Bullewijk,527.36
2017,wijken,TB,Venserpolder,82
2017,wijken,TC,Amsterdamse Poort e.o.,152
2017,wijken,TD,H-buurt,81
2017,wijken,TE,Ganzenhoef e.o.,82
2017,wijken,TF,Geerdinkhof/Kantershof,157
2017,wijken,TG,Bijlmermuseum,71
2017,wijken,TH,K-buurt,95
2017,wijken,TJ,Holendrecht,138
2017,wijken,TK,Nellestein,294.87
2017,wijken,TL,Reigersbos,132
2017,wijken,TM,Gein,192.14
2018,wijken,AA,Haarlemmerbuurt,81.44
2018,wijken,AB,Jordaan,94.66
2018,wijken,AC,Grachtengordel-West,56.9
2018,wijken,AD,Burgwallen-Nieuwe Zijde,72.85
2018,wijken,AE,Burgwallen-Oude Zijde,40.47
2018,wijken,AF,Nieuwmarkt/Lastage,106.69
2018,wijken,AG,Grachtengordel-Zuid,64.19
2018,wijken,AH,De Weteringschans,64.77
2018,wijken,AJ,Weesperbuurt/Plantage,91.99
2018,wijken,AK,Oostelijke Eilanden/Kadijken,130.4
2018,wijken,BA,Havens-West,
2018,wijken,BB,Coenhaven/Minervahaven,
2018,wijken,EA,Sloterdijk-West,121.34
2018,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,141.06
2018,wijken,EC,Houthavens,91.96
2018,wijken,ED,De Kolenkit,74.13
2018,wijken,EE,Landlust,108.84
2018,wijken,EF,Erasmuspark,40.51
2018,wijken,EG,Centrale Markt,57.25
2018,wijken,EH,Staatsliedenbuurt,53.09
2018,wijken,EJ,Frederik Hendrikbuurt,42.12
2018,wijken,EK,Van Galenbuurt,29.4
2018,wijken,EL,Geuzenbuurt,29.18
2018,wijken,EM,Hoofdweg e.o.,41.98
2018,wijken,EN,Chassébuurt,27.57
2018,wijken,EP,Bellamybuurt,27.39
2018,wijken,EQ,Da Costabuurt,25.85
2018,wijken,ER,Westindische Buurt,34.68
2018,wijken,ES,Van Lennepbuurt,28.77
2018,wijken,ET,Overtoomse Sluis,30.86
2018,wijken,EU,Helmersbuurt,34.92
2018,wijken,EV,Vondelparkbuurt,22.12
2018,wijken,FA,Sloterdijk Nieuw-West,769.91
2018,wijken,FB,Geuzenveld,383
2018,wijken,FC,Slotermeer-West,91
2018,wijken,FD,Slotermeer-Noordoost,101.52
2018,wijken,FE,Slotermeer-Zuidoost,189
2018,wijken,FF,Lutkemeer/Ookmeer,568.74
