Year,Geography,Code,Name,Green spaces (1-10)
2021,wijken,EJ,Frederik Hendrikbuurt,6.7
2021,wijken,EK,Van Galenbuurt,7
2021,wijken,EL,Geuzenbuurt,7
2021,wijken,EM,Hoofdweg e.o.,7.1
2021,wijken,EN,Chassébuurt,6
2021,wijken,EP,Bellamybuurt,6.7
2021,wijken,EQ,Da Costabuurt,6
2021,wijken,ER,Westindische Buurt,7.3
2021,wijken,ES,Van Lennepbuurt,6.5
2021,wijken,ET,Overtoomse Sluis,7
2021,wijken,EU,Helmersbuurt,6.8
2021,wijken,EV,Vondelparkbuurt,8
2021,wijken,FA,Sloterdijk Nieuw-West,6.9
2021,wijken,FB,Geuzenveld,7.1
2021,wijken,FC,Slotermeer-West,7.2
2021,wijken,FD,Slotermeer-Noordoost,6.9
2021,wijken,FE,Slotermeer-Zuidoost,7.7
2021,wijken,FF,Lutkemeer/Ookmeer,
2021,wijken,FG,De Aker,7
2021,wijken,FH,De Punt,6.6
2021,wijken,FJ,Osdorp-Midden,6.9
2021,wijken,FK,Osdorp-Oost,7.2
2021,wijken,FL,Slotervaart-Noord,7.6
2021,wijken,FM,Overtoomse Veld,6.9
2021,wijken,FN,Slotervaart-Zuid,7.1
2021,wijken,FP,Westlandgracht,6.8
2021,wijken,FQ,Sloten/Nieuw-Sloten,7.5
2021,wijken,KA,Hoofddorppleinbuurt,7.3
2021,wijken,KB,Schinkelbuurt,6.3
2021,wijken,KC,Willemspark,7.4
2021,wijken,KD,Museumkwartier,7.3
2021,wijken,KE,Oude Pijp,6.5
2021,wijken,KF,Nieuwe Pijp,6.3
2021,wijken,KG,Zuid Pijp,6.3
2021,wijken,KH,Stadionbuurt,7.1
2021,wijken,KJ,Apollobuurt,7.5
2021,wijken,KK,Scheldebuurt,7.3
2021,wijken,KL,IJselbuurt,6.9
2021,wijken,KM,Rijnbuurt,7.1
2021,wijken,KN,Prinses Irenebuurt e.o.,7.6
2021,wijken,KP,Zuidas,7.1
2021,wijken,KQ,Buitenveldert-West,7.9
2021,wijken,KR,Buitenveldert-Oost,7.8
2021,wijken,MA,Oostelijk Havengebied,6.4
2021,wijken,MB,Weesperzijde,6.5
2021,wijken,MC,Oosterparkbuurt,6.9
2021,wijken,MD,Transvaalbuurt,6.9
2021,wijken,ME,Dapperbuurt,6.9
2021,wijken,MF,Indische Buurt-West,6.8
2021,wijken,MG,Indische Buurt-Oost,7.2
2021,wijken,MH,Zeeburgereiland/Bovendiep,6.4
2021,wijken,MJ,IJburg-West,6.8
2021,wijken,MK,IJburg-Oost,
2021,wijken,ML,IJburg-Zuid,7.1
2021,wijken,MM,Frankendael,7.3
2021,wijken,MN,Middenmeer,7.6
2021,wijken,MP,Betondorp,7.3
2021,wijken,MQ,Omval/Overamstel,7
2021,wijken,NA,Oostzanerwerf,
2021,wijken,NB,Noordelijke IJ-oevers-West,5.3
2021,wijken,NC,Tuindorp Oostzaan,6.8
2021,wijken,ND,Kadoelen,6.4
2021,wijken,NE,Banne Buiksloot,7
2021,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,7.8
2021,wijken,NG,Elzenhagen,6.4
2021,wijken,NH,Buikslotermeer,7.3
2021,wijken,NJ,Waterlandpleinbuurt,7.2
2021,wijken,NK,Volewijck,6.9
2021,wijken,NL,IJplein/Vogelbuurt,7
2021,wijken,NM,Tuindorp Buiksloot,7.5
2021,wijken,NN,Tuindorp Nieuwendam,7.3
2021,wijken,NP,Noordelijke IJ-oevers-Oost,
2021,wijken,NQ,Waterland,7.6
2021,wijken,SA,Driemond,6.1
2021,wijken,SB,Bloemendalerpolder,
2021,wijken,SC,Weesp-Noordwest,
2021,wijken,SD,Weesp Binnenstad/Zuid,
2021,wijken,SE,Aetsveld/Oostelijke Vechtoever,
2021,wijken,TA,Amstel III/Bullewijk,
2021,wijken,TB,Venserpolder,6.8
2021,wijken,TC,Amsterdamse Poort e.o.,6.7
2021,wijken,TD,H-buurt,7.1
2021,wijken,TE,Ganzenhoef e.o.,6.8
2021,wijken,TF,Geerdinkhof/Kantershof,8.2
2021,wijken,TG,Bijlmermuseum,7.2
2021,wijken,TH,K-buurt,7.3
2021,wijken,TJ,Holendrecht,7.6
2021,wijken,TK,Nellestein,8.4
2021,wijken,TL,Reigersbos,7.7
2021,wijken,TM,Gein,7.8
