Year,Geography,Code,Name,Population
2006,wijken,FB,Geuzenveld,15829
2006,wijken,FC,Slotermeer-West,10485
2006,wijken,FD,Slotermeer-Noordoost,9106
2006,wijken,FE,Slotermeer-Zuidoost,5800
2006,wijken,FF,Lutkemeer/Ookmeer,892
2006,wijken,FG,De Aker,14364
2006,wijken,FH,De Punt,4902
2006,wijken,FJ,Osdorp-Midden,10295
2006,wijken,FK,Osdorp-Oost,14380
2006,wijken,FL,Slotervaart-Noord,7612
2006,wijken,FM,Overtoomse Veld,9516
2006,wijken,FN,Slotervaart-Zuid,8603
2006,wijken,FP,Westlandgracht,5156
2006,wijken,FQ,Sloten/Nieuw-Sloten,13972
2006,wijken,KA,Hoofddorppleinbuurt,10742
2006,wijken,KB,Schinkelbuurt,3719
2006,wijken,KC,Willemspark,5149
2006,wijken,KD,Museumkwartier,12653
2006,wijken,KE,Oude Pijp,13616
2006,wijken,KF,Nieuwe Pijp,11348
2006,wijken,KG,Zuid Pijp,8221
2006,wijken,KH,Stadionbuurt,10133
2006,wijken,KJ,Apollobuurt,8013
2006,wijken,KK,Scheldebuurt,13176
2006,wijken,KL,IJselbuurt,5122
2006,wijken,KM,Rijnbuurt,8504
2006,wijken,KN,Prinses Irenebuurt e.o.,1155
2006,wijken,KP,Zuidas,87
2006,wijken,KQ,Buitenveldert-West,11646
2006,wijken,KR,Buitenveldert-Oost,7195
2006,wijken,MA,Oostelijk Havengebied,16649
2006,wijken,MB,Weesperzijde,4414
2006,wijken,MC,Oosterparkbuurt,10384
2006,wijken,MD,Transvaalbuurt,9606
2006,wijken,ME,Dapperbuurt,8427
2006,wijken,MF,Indische Buurt-West,12643
2006,wijken,MG,Indische Buurt-Oost,10600
2006,wijken,MH,Zeeburgereiland/Bovendiep,426
2006,wijken,MJ,IJburg-West,3183
2006,wijken,MK,IJburg-Oost,
2006,wijken,ML,IJburg-Zuid,
2006,wijken,MM,Frankendael,9326
2006,wijken,MN,Middenmeer,11972
2006,wijken,MP,Betondorp,3098
2006,wijken,MQ,Omval/Overamstel,1401
2006,wijken,NB,Noordelijke IJ-oevers-West,617
2006,wijken,NC,Tuindorp Oostzaan,9423
2006,wijken,ND,Kadoelen,2895
2006,wijken,NE,Banne Buiksloot,13790
2006,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,1579
2006,wijken,NG,Elzenhagen,1100
2006,wijken,NH,Buikslotermeer,10639
2006,wijken,NJ,Waterlandpleinbuurt,13235
2006,wijken,NK,Volewijck,9944
2006,wijken,NL,IJplein/Vogelbuurt,8136
2006,wijken,NM,Tuindorp Buiksloot,1905
2006,wijken,NN,Tuindorp Nieuwendam,3428
2006,wijken,NP,Noordelijke IJ-oevers-Oost,145
2006,wijken,NQ,Waterland,2076
2006,wijken,SA,Driemond,1517
2006,wijken,TA,Amstel III/Bullewijk,117
2006,wijken,TB,Venserpolder,8037
2006,wijken,TC,Amsterdamse Poort e.o.,6207
2006,wijken,TD,H-buurt,7069
2006,wijken,TE,Ganzenhoef e.o.,6721
2006,wijken,TF,Geerdinkhof/Kantershof,4956
2006,wijken,TG,Bijlmermuseum,7165
2006,wijken,TH,K-buurt,3897
2006,wijken,TJ,Holendrecht,9756
2006,wijken,TK,Nellestein,2760
2006,wijken,TL,Reigersbos,8517
2006,wijken,TM,Gein,12188
2007,wijken,AA,Haarlemmerbuurt,6985
2007,wijken,AB,Jordaan,18847
2007,wijken,AC,Grachtengordel-West,7641
