Year,Geography,Code,Name,27 - 65 years (%)
2005,wijken,AA,Haarlemmerbuurt,68.2
2005,wijken,AB,Jordaan,69.9
2005,wijken,AC,Grachtengordel-West,73.9
2005,wijken,AD,Burgwallen-Nieuwe Zijde,71.1
2005,wijken,AE,Burgwallen-Oude Zijde,70.8
2005,wijken,AF,Nieuwmarkt/Lastage,68.8
2005,wijken,AG,Grachtengordel-Zuid,67.5
2005,wijken,AH,De Weteringschans,69.1
2005,wijken,AJ,Weesperbuurt/Plantage,59.7
2005,wijken,AK,Oostelijke Eilanden/Kadijken,65.8
2005,wijken,EA,Sloterdijk-West,51.3
2005,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,60.5
2005,wijken,EC,Houthavens,51.1
2005,wijken,ED,De Kolenkit,45.3
2005,wijken,EE,Landlust,56.2
2005,wijken,EF,Erasmuspark,57.1
2005,wijken,EG,Centrale Markt,62.2
2005,wijken,EH,Staatsliedenbuurt,66.8
2005,wijken,EJ,Frederik Hendrikbuurt,68.9
2005,wijken,EK,Van Galenbuurt,59.4
2005,wijken,EL,Geuzenbuurt,62.4
2005,wijken,EM,Hoofdweg e.o.,59.2
2005,wijken,EN,Chassébuurt,56.5
2005,wijken,EP,Bellamybuurt,66.1
2005,wijken,EQ,Da Costabuurt,67.5
2005,wijken,ER,Westindische Buurt,63.6
2005,wijken,ES,Van Lennepbuurt,65
2005,wijken,ET,Overtoomse Sluis,68.9
2005,wijken,EU,Helmersbuurt,68.1
2005,wijken,EV,Vondelparkbuurt,64.3
2005,wijken,FA,Sloterdijk Nieuw-West,68.1
2005,wijken,FB,Geuzenveld,48.3
2005,wijken,FC,Slotermeer-West,46.9
2005,wijken,FD,Slotermeer-Noordoost,50.3
2005,wijken,FE,Slotermeer-Zuidoost,53.9
2005,wijken,FF,Lutkemeer/Ookmeer,56.1
2005,wijken,FG,De Aker,56.7
2005,wijken,FH,De Punt,48.5
2005,wijken,FJ,Osdorp-Midden,45.5
2005,wijken,FK,Osdorp-Oost,44.7
2005,wijken,FL,Slotervaart-Noord,50.4
2005,wijken,FM,Overtoomse Veld,45
2005,wijken,FN,Slotervaart-Zuid,45.9
2005,wijken,FP,Westlandgracht,54.6
2005,wijken,FQ,Sloten/Nieuw-Sloten,58.1
2005,wijken,KA,Hoofddorppleinbuurt,65.9
2005,wijken,KB,Schinkelbuurt,66
2005,wijken,KC,Willemspark,62.6
2005,wijken,KD,Museumkwartier,63
2005,wijken,KE,Oude Pijp,68.5
2005,wijken,KF,Nieuwe Pijp,65.8
2005,wijken,KG,Zuid Pijp,61.1
2005,wijken,KH,Stadionbuurt,62.3
2005,wijken,KJ,Apollobuurt,57.2
2005,wijken,KK,Scheldebuurt,60.2
2005,wijken,KL,IJselbuurt,62.5
2005,wijken,KM,Rijnbuurt,62.8
2005,wijken,KN,Prinses Irenebuurt e.o.,52.6
2005,wijken,KP,Zuidas,81.1
2005,wijken,KQ,Buitenveldert-West,48.5
2005,wijken,KR,Buitenveldert-Oost,48.5
2005,wijken,MA,Oostelijk Havengebied,67.8
2005,wijken,MB,Weesperzijde,66.3
2005,wijken,MC,Oosterparkbuurt,63.5
2005,wijken,MD,Transvaalbuurt,57.4
2005,wijken,ME,Dapperbuurt,61.1
2005,wijken,MF,Indische Buurt-West,56.9
2005,wijken,MG,Indische Buurt-Oost,55.3
2005,wijken,MH,Zeeburgereiland/Bovendiep,60.7
2005,wijken,MJ,IJburg-West,60.7
2005,wijken,MK,IJburg-Oost,
2005,wijken,ML,IJburg-Zuid,
2005,wijken,MM,Frankendael,53.3
