Year,Geography,Code,Name,4 - 12 years (%)
2005,wijken,AA,Haarlemmerbuurt,5.9
2005,wijken,AB,Jordaan,4.6
2005,wijken,AC,Grachtengordel-West,3.7
2005,wijken,AD,Burgwallen-Nieuwe Zijde,1.8
2005,wijken,AE,Burgwallen-Oude Zijde,3
2005,wijken,AF,Nieuwmarkt/Lastage,5.1
2005,wijken,AG,Grachtengordel-Zuid,4.2
2005,wijken,AH,De Weteringschans,4.4
2005,wijken,AJ,Weesperbuurt/Plantage,4.5
2005,wijken,AK,Oostelijke Eilanden/Kadijken,7.8
2005,wijken,EA,Sloterdijk-West,7
2005,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,8.7
2005,wijken,EC,Houthavens,2.9
2005,wijken,ED,De Kolenkit,15.4
2005,wijken,EE,Landlust,9.6
2005,wijken,EF,Erasmuspark,8.6
2005,wijken,EG,Centrale Markt,15.3
2005,wijken,EH,Staatsliedenbuurt,7.1
2005,wijken,EJ,Frederik Hendrikbuurt,6
2005,wijken,EK,Van Galenbuurt,7.5
2005,wijken,EL,Geuzenbuurt,6.1
2005,wijken,EM,Hoofdweg e.o.,8.2
2005,wijken,EN,Chassébuurt,10.5
2005,wijken,EP,Bellamybuurt,5.7
2005,wijken,EQ,Da Costabuurt,5.1
2005,wijken,ER,Westindische Buurt,6.1
2005,wijken,ES,Van Lennepbuurt,5.5
2005,wijken,ET,Overtoomse Sluis,5.2
2005,wijken,EU,Helmersbuurt,5.7
2005,wijken,EV,Vondelparkbuurt,5.5
2005,wijken,FA,Sloterdijk Nieuw-West,4.3
2005,wijken,FB,Geuzenveld,13.2
2005,wijken,FC,Slotermeer-West,13
2005,wijken,FD,Slotermeer-Noordoost,11.3
2005,wijken,FE,Slotermeer-Zuidoost,8.3
2005,wijken,FF,Lutkemeer/Ookmeer,11.9
2005,wijken,FG,De Aker,14.7
2005,wijken,FH,De Punt,9.8
2005,wijken,FJ,Osdorp-Midden,12.9
2005,wijken,FK,Osdorp-Oost,8.6
2005,wijken,FL,Slotervaart-Noord,11.4
2005,wijken,FM,Overtoomse Veld,14.7
2005,wijken,FN,Slotervaart-Zuid,10.4
2005,wijken,FP,Westlandgracht,8.9
2005,wijken,FQ,Sloten/Nieuw-Sloten,14.3
2005,wijken,KA,Hoofddorppleinbuurt,5.4
2005,wijken,KB,Schinkelbuurt,4.8
2005,wijken,KC,Willemspark,8.6
2005,wijken,KD,Museumkwartier,7.5
2005,wijken,KE,Oude Pijp,4.8
2005,wijken,KF,Nieuwe Pijp,5.1
2005,wijken,KG,Zuid Pijp,8.5
2005,wijken,KH,Stadionbuurt,6.7
2005,wijken,KJ,Apollobuurt,9.3
2005,wijken,KK,Scheldebuurt,5.7
2005,wijken,KL,IJselbuurt,6.4
2005,wijken,KM,Rijnbuurt,5.4
2005,wijken,KN,Prinses Irenebuurt e.o.,7.9
2005,wijken,KP,Zuidas,2.7
2005,wijken,KQ,Buitenveldert-West,6.3
2005,wijken,KR,Buitenveldert-Oost,5.1
2005,wijken,MA,Oostelijk Havengebied,11.2
2005,wijken,MB,Weesperzijde,6.7
2005,wijken,MC,Oosterparkbuurt,8.6
2005,wijken,MD,Transvaalbuurt,11.3
2005,wijken,ME,Dapperbuurt,8.5
2005,wijken,MF,Indische Buurt-West,9.1
2005,wijken,MG,Indische Buurt-Oost,10.4
2005,wijken,MH,Zeeburgereiland/Bovendiep,9.3
2005,wijken,MJ,IJburg-West,13.8
2005,wijken,MK,IJburg-Oost,
2005,wijken,ML,IJburg-Zuid,
2005,wijken,MM,Frankendael,7.3
2005,wijken,MN,Middenmeer,10.9
2005,wijken,MP,Betondorp,4.7
2005,wijken,MQ,Omval/Overamstel,3.9
2005,wijken,NB,Noordelijke IJ-oevers-West,5.4
2005,wijken,NC,Tuindorp Oostzaan,8.3
2005,wijken,ND,Kadoelen,10.7
2005,wijken,NE,Banne Buiksloot,13.1
2005,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,12.1
2005,wijken,NG,Elzenhagen,13.8
2005,wijken,NH,Buikslotermeer,9.2
2005,wijken,NJ,Waterlandpleinbuurt,14.9
2005,wijken,NK,Volewijck,10.3
2005,wijken,NL,IJplein/Vogelbuurt,11
2005,wijken,NM,Tuindorp Buiksloot,7.5
2005,wijken,NN,Tuindorp Nieuwendam,7.6
