Year,Geography,Code,Name,18 - 26 years (%)
2005,wijken,AA,Haarlemmerbuurt,11.1
2005,wijken,AB,Jordaan,10.6
2005,wijken,AC,Grachtengordel-West,11.4
2005,wijken,AD,Burgwallen-Nieuwe Zijde,19.2
2005,wijken,AE,Burgwallen-Oude Zijde,16.9
2005,wijken,AF,Nieuwmarkt/Lastage,11.9
2005,wijken,AG,Grachtengordel-Zuid,14.7
2005,wijken,AH,De Weteringschans,14.2
2005,wijken,AJ,Weesperbuurt/Plantage,15.4
2005,wijken,AK,Oostelijke Eilanden/Kadijken,11.9
2005,wijken,EA,Sloterdijk-West,30.4
2005,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,12.9
2005,wijken,EC,Houthavens,37.5
2005,wijken,ED,De Kolenkit,17.4
2005,wijken,EE,Landlust,16.1
2005,wijken,EF,Erasmuspark,17.7
2005,wijken,EG,Centrale Markt,6.7
2005,wijken,EH,Staatsliedenbuurt,12.5
2005,wijken,EJ,Frederik Hendrikbuurt,10.3
2005,wijken,EK,Van Galenbuurt,16.7
2005,wijken,EL,Geuzenbuurt,17
2005,wijken,EM,Hoofdweg e.o.,15.4
2005,wijken,EN,Chassébuurt,15
2005,wijken,EP,Bellamybuurt,15.1
2005,wijken,EQ,Da Costabuurt,13
2005,wijken,ER,Westindische Buurt,14.4
2005,wijken,ES,Van Lennepbuurt,14.4
2005,wijken,ET,Overtoomse Sluis,13.7
2005,wijken,EU,Helmersbuurt,11.5
2005,wijken,EV,Vondelparkbuurt,11
2005,wijken,FA,Sloterdijk Nieuw-West,11.6
2005,wijken,FB,Geuzenveld,12.4
2005,wijken,FC,Slotermeer-West,13.6
2005,wijken,FD,Slotermeer-Noordoost,14
2005,wijken,FE,Slotermeer-Zuidoost,11.6
2005,wijken,FF,Lutkemeer/Ookmeer,11.3
2005,wijken,FG,De Aker,8.7
2005,wijken,FH,De Punt,12.1
2005,wijken,FJ,Osdorp-Midden,14.1
2005,wijken,FK,Osdorp-Oost,12.6
2005,wijken,FL,Slotervaart-Noord,10.2
2005,wijken,FM,Overtoomse Veld,14.8
2005,wijken,FN,Slotervaart-Zuid,10.9
2005,wijken,FP,Westlandgracht,15
2005,wijken,FQ,Sloten/Nieuw-Sloten,7.9
2005,wijken,KA,Hoofddorppleinbuurt,12.2
2005,wijken,KB,Schinkelbuurt,12.9
2005,wijken,KC,Willemspark,10.5
2005,wijken,KD,Museumkwartier,10.2
2005,wijken,KE,Oude Pijp,15.4
2005,wijken,KF,Nieuwe Pijp,13.6
2005,wijken,KG,Zuid Pijp,11.5
2005,wijken,KH,Stadionbuurt,11
2005,wijken,KJ,Apollobuurt,9.1
2005,wijken,KK,Scheldebuurt,12.5
2005,wijken,KL,IJselbuurt,13.5
2005,wijken,KM,Rijnbuurt,12.6
2005,wijken,KN,Prinses Irenebuurt e.o.,6.3
2005,wijken,KP,Zuidas,6.8
2005,wijken,KQ,Buitenveldert-West,10
2005,wijken,KR,Buitenveldert-Oost,6.9
2005,wijken,MA,Oostelijk Havengebied,5.8
2005,wijken,MB,Weesperzijde,14
2005,wijken,MC,Oosterparkbuurt,12.8
2005,wijken,MD,Transvaalbuurt,14.4
2005,wijken,ME,Dapperbuurt,12.9
2005,wijken,MF,Indische Buurt-West,17.3
2005,wijken,MG,Indische Buurt-Oost,13.9
2005,wijken,MH,Zeeburgereiland/Bovendiep,19.4
2005,wijken,MJ,IJburg-West,5.8
2005,wijken,MK,IJburg-Oost,
2005,wijken,ML,IJburg-Zuid,
2005,wijken,MM,Frankendael,13.8
2005,wijken,MN,Middenmeer,8.4
2005,wijken,MP,Betondorp,7
2005,wijken,MQ,Omval/Overamstel,7.3
2005,wijken,NB,Noordelijke IJ-oevers-West,29
2005,wijken,NC,Tuindorp Oostzaan,9.4
2005,wijken,ND,Kadoelen,7.3
2005,wijken,NE,Banne Buiksloot,9.9
2005,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,7.4
2005,wijken,NG,Elzenhagen,8
2005,wijken,NH,Buikslotermeer,12
2005,wijken,NJ,Waterlandpleinbuurt,11.9
2005,wijken,NK,Volewijck,12.2
2005,wijken,NL,IJplein/Vogelbuurt,12.7
2005,wijken,NM,Tuindorp Buiksloot,9.3
2005,wijken,NN,Tuindorp Nieuwendam,5.7
2005,wijken,NP,Noordelijke IJ-oevers-Oost,14.8
2005,wijken,NQ,Waterland,6.7
2005,wijken,SA,Driemond,7.2
2005,wijken,TA,Amstel III/Bullewijk,28.2
2005,wijken,TB,Venserpolder,14.7
2005,wijken,TC,Amsterdamse Poort e.o.,15.8
2005,wijken,TD,H-buurt,14.9
2005,wijken,TE,Ganzenhoef e.o.,15.8
2005,wijken,TF,Geerdinkhof/Kantershof,10.1
2005,wijken,TG,Bijlmermuseum,13.1
2005,wijken,TH,K-buurt,14.7
2005,wijken,TJ,Holendrecht,12
2005,wijken,TK,Nellestein,9.5
2005,wijken,TL,Reigersbos,14.9
2005,wijken,TM,Gein,13.6
2006,wijken,AA,Haarlemmerbuurt,11.5
2006,wijken,AB,Jordaan,11.3
2006,wijken,AC,Grachtengordel-West,11.9
2006,wijken,AD,Burgwallen-Nieuwe Zijde,20
2006,wijken,AE,Burgwallen-Oude Zijde,17.8
2006,wijken,AF,Nieuwmarkt/Lastage,12.3
2006,wijken,AG,Grachtengordel-Zuid,14.8
2006,wijken,AH,De Weteringschans,13.8
2006,wijken,AJ,Weesperbuurt/Plantage,15.9
2006,wijken,AK,Oostelijke Eilanden/Kadijken,12.8
2006,wijken,EA,Sloterdijk-West,25.8
2006,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,13.1
2006,wijken,EC,Houthavens,59.9
2006,wijken,ED,De Kolenkit,16.1
2006,wijken,EE,Landlust,16.2
2006,wijken,EF,Erasmuspark,17.4
2006,wijken,EG,Centrale Markt,7.2
2006,wijken,EH,Staatsliedenbuurt,12.2
2006,wijken,EJ,Frederik Hendrikbuurt,11.1
2006,wijken,EK,Van Galenbuurt,16.3
2006,wijken,EL,Geuzenbuurt,17.2
2006,wijken,EM,Hoofdweg e.o.,15.1
2006,wijken,EN,Chassébuurt,15.3
2006,wijken,EP,Bellamybuurt,15.3
2006,wijken,EQ,Da Costabuurt,12.7
2006,wijken,ER,Westindische Buurt,15
2006,wijken,ES,Van Lennepbuurt,14.6
2006,wijken,ET,Overtoomse Sluis,14
2006,wijken,EU,Helmersbuurt,11.3
2006,wijken,EV,Vondelparkbuurt,10.7
2006,wijken,FA,Sloterdijk Nieuw-West,16.7
2006,wijken,FB,Geuzenveld,13
2006,wijken,FC,Slotermeer-West,14
2006,wijken,FD,Slotermeer-Noordoost,14.1
2006,wijken,FE,Slotermeer-Zuidoost,11.7
2006,wijken,FF,Lutkemeer/Ookmeer,10.3
2006,wijken,FG,De Aker,9.1
2006,wijken,FH,De Punt,12.4
2006,wijken,FJ,Osdorp-Midden,15.1
2006,wijken,FK,Osdorp-Oost,13.1
2006,wijken,FL,Slotervaart-Noord,10
2006,wijken,FM,Overtoomse Veld,16.2
2006,wijken,FN,Slotervaart-Zuid,10.9
2006,wijken,FP,Westlandgracht,16.7
2006,wijken,FQ,Sloten/Nieuw-Sloten,7.9
2006,wijken,KA,Hoofddorppleinbuurt,12.5
2006,wijken,KB,Schinkelbuurt,12.6
2006,wijken,KC,Willemspark,10.6
2006,wijken,KD,Museumkwartier,10.7
2006,wijken,KE,Oude Pijp,15.9
2006,wijken,KF,Nieuwe Pijp,14.2
2006,wijken,KG,Zuid Pijp,11.8
2006,wijken,KH,Stadionbuurt,11.2
2006,wijken,KJ,Apollobuurt,9.5
2006,wijken,KK,Scheldebuurt,11.6
2006,wijken,KL,IJselbuurt,13
2006,wijken,KM,Rijnbuurt,12.8
2006,wijken,KN,Prinses Irenebuurt e.o.,6.9
2006,wijken,KP,Zuidas,13.8
2006,wijken,KQ,Buitenveldert-West,9.7
2006,wijken,KR,Buitenveldert-Oost,8.1
2006,wijken,MA,Oostelijk Havengebied,6
2006,wijken,MB,Weesperzijde,14.9
2006,wijken,MC,Oosterparkbuurt,13.2
2006,wijken,MD,Transvaalbuurt,14.6
2006,wijken,ME,Dapperbuurt,13.7
2006,wijken,MF,Indische Buurt-West,16.8
2006,wijken,MG,Indische Buurt-Oost,13.3
2006,wijken,MH,Zeeburgereiland/Bovendiep,49.3
2006,wijken,MJ,IJburg-West,6.2
2006,wijken,MK,IJburg-Oost,
2006,wijken,ML,IJburg-Zuid,
