Year,Geography,Code,Name,13 - 17 years (%)
2006,wijken,ET,Overtoomse Sluis,2.1
2006,wijken,EU,Helmersbuurt,2.8
2006,wijken,EV,Vondelparkbuurt,3.2
2006,wijken,FA,Sloterdijk Nieuw-West,3
2006,wijken,FB,Geuzenveld,7.7
2006,wijken,FC,Slotermeer-West,7.3
2006,wijken,FD,Slotermeer-Noordoost,5.8
2006,wijken,FE,Slotermeer-Zuidoost,3.4
2006,wijken,FF,Lutkemeer/Ookmeer,7.5
2006,wijken,FG,De Aker,7.5
2006,wijken,FH,De Punt,5.2
2006,wijken,FJ,Osdorp-Midden,6.5
2006,wijken,FK,Osdorp-Oost,5
2006,wijken,FL,Slotervaart-Noord,6.3
2006,wijken,FM,Overtoomse Veld,9.5
2006,wijken,FN,Slotervaart-Zuid,6.5
2006,wijken,FP,Westlandgracht,4.2
2006,wijken,FQ,Sloten/Nieuw-Sloten,7.5
2006,wijken,KA,Hoofddorppleinbuurt,2.2
2006,wijken,KB,Schinkelbuurt,2.5
2006,wijken,KC,Willemspark,3.9
2006,wijken,KD,Museumkwartier,3.3
2006,wijken,KE,Oude Pijp,2.1
2006,wijken,KF,Nieuwe Pijp,2.6
2006,wijken,KG,Zuid Pijp,4.9
2006,wijken,KH,Stadionbuurt,3.6
2006,wijken,KJ,Apollobuurt,3.8
2006,wijken,KK,Scheldebuurt,2.7
2006,wijken,KL,IJselbuurt,3.3
2006,wijken,KM,Rijnbuurt,2.7
2006,wijken,KN,Prinses Irenebuurt e.o.,4.1
2006,wijken,KP,Zuidas,3.4
2006,wijken,KQ,Buitenveldert-West,3.4
2006,wijken,KR,Buitenveldert-Oost,2.3
2006,wijken,MA,Oostelijk Havengebied,4.4
2006,wijken,MB,Weesperzijde,3.1
2006,wijken,MC,Oosterparkbuurt,4.5
2006,wijken,MD,Transvaalbuurt,6.5
2006,wijken,ME,Dapperbuurt,4.4
2006,wijken,MF,Indische Buurt-West,4.6
2006,wijken,MG,Indische Buurt-Oost,5.2
2006,wijken,MH,Zeeburgereiland/Bovendiep,2.8
2006,wijken,MJ,IJburg-West,4
2006,wijken,MK,IJburg-Oost,
2006,wijken,ML,IJburg-Zuid,
2006,wijken,MM,Frankendael,4.3
2006,wijken,MN,Middenmeer,4.9
2006,wijken,MP,Betondorp,2.4
2006,wijken,MQ,Omval/Overamstel,1.1
2006,wijken,NB,Noordelijke IJ-oevers-West,1.8
2006,wijken,NC,Tuindorp Oostzaan,5.6
2006,wijken,ND,Kadoelen,5.7
2006,wijken,NE,Banne Buiksloot,6.8
2006,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,6.7
2006,wijken,NG,Elzenhagen,6.4
2006,wijken,NH,Buikslotermeer,5
2006,wijken,NJ,Waterlandpleinbuurt,6.7
2006,wijken,NK,Volewijck,5.5
2006,wijken,NL,IJplein/Vogelbuurt,6.3
2006,wijken,NM,Tuindorp Buiksloot,5.5
2006,wijken,NN,Tuindorp Nieuwendam,5
